,Name,Distance(light-years),Mass,Radius,Gravity
0,Sun,0.000015813,1,1,274.2691614595739
1,Sirius,0008.6,2.1,1.71,196.971799550325
2,Canopus,0310,15,71,0.8161153386021839
3,Alpha Centauri,0004.4,1.1,1.2,209.51116500384123
4,Arcturus,0037,1.1,26,0.44629597278924754
5,Vega,0025,2.2,2.7,82.76984296448046
6,Capella,0043,2.6,12,4.952082081908975
7,Rigel,0860,23,78.9,1.01332978543217
8,Procyon,0011.4,1.5,1.9,113.9622554541166
9,Betelgeuse,0640,20,950,0.006077986957552885
10,Achernar,0144,6.7,9.3,21.2464259657665
11,Hadar,0390,10.5,8.6,38.937617567949246
12,Altair,0017,1.8,1.8,152.37175636642996
13,Acrux,0320,18,8.9,62.326030883377484
14,Aldebaran,0065,1.5,44,0.21250193294905007
15,Antares,0600,12,680,0.0071177118025840995
16,Spica,0260,11.43,7.47,56.18003500809
17,Pollux,0034,1.9,8.8,6.729227876719916
18,Fomalhaut,0025,1.9,1.8,160.8368539423427
19,Deneb,"2,600",19,203,0.12645572733460908
20,Mimosa,0350,16,8.4,62.19255361895101
21,Regulus,0077,3.8,3.1,108.45190567600218
22,Adhara,0430,12.5,14,17.491655705329972
23,Shaula,0700,14.5,8.8,51.354633796020416
24,Castor,0052,2.8,2.4,133.3252868206262
25,Gacrux,0088,1.5,84,0.058305519017766566
26,Bellatrix,0240,8.6,5.8,70.11637302474244
27,Elnath,0130,5.0,4.2,77.74069202368877
28,Miaplacidus,0110,3.5,6.8,20.759992757536956
29,Alnilam,"2,000",32,42,4.975404289516081
30,Gamma Velorum,"01,100",9.0,6,68.56729036489348
31,Alnair,0101,4.0,3.4,94.90282403445465
32,Alioth,0081,2.9,4.2,45.08960137373948
33,Alnitak,01050,33,20,22.62720582041485
34,Dubhe,0120,4.25,30,1.2951599291146547
35,Mirfak,0590,8.5,68,0.5041712526830403
36,Wezen,"1,600",17,200,0.11656439362031894
37,Sargas,0270,5.7,26,2.3126245862715553
38,Kaus Australis,0140,3.5,6.8,20.759992757536956
39,Avior,0630,9.0,130,0.14606050018557193
40,Alkaid,0104,6.1,3.4,144.72680665254333
41,Menkalinan,081,2.39,2.77,85.43097080483021
42,"Atria
",0390,7,92,0.22682941046987445
43,Alhena,0109,2.8,3.3,70.51915997124031
44,"Peacock
",0180,5.9,4.8,70.23385645015132
45,[2],0080,2.4,2.9,78.26943965552645
46,Mirzam,0500,13.5,10,37.02633679704249
47,Polaris,0430,5.4,39,0.973736667903813
48,Alphard,0180,3.0,50,0.32912299375148873
49,Mintaka,01200,24,16.5,24.17799770442525
50,Scheat,0196,2.1,95,0.0638188630543053
51,Almaaz,0653,15,140,0.20989986846395964
52,Rasalgethi,0360,2.8,280,0.009795327194984781
53,Tau Ceti,011.9,0.783,0.893,269.29967110479345
54,Delta Pavonis,019.92,0.991,1.22,182.61269753187165
55,Ran,010.48,0.82,0.74,410.70254272616984
56,V382 Carinae,"08,900",20,485,0.023319728894426524
57,Eta Carinae,"07,500",100,60 - 881,-
58,Delta Cephei,0887,4.5,44.5,0.6232603088337749
59,Mu Cephei,"06,000",19.2,972,0.005573726798954914
60,Titawin,044.25,1.27,1.48,159.02202111653529
61,Rho Cassiopeiae,"08,154",22,636-981,-
62,P Cygni,"05,545",30,76,1.4245281931764575
63,La Superba,"01,000",,129 - 342,-
64,VV Cephei,"04,900",18.2,"516 - 1,050",-
65,61 Cygni,011.41,0.7,0.665,434.1419255394917
66,R Doradus,0178,0.7 - 1.0,298,-
